mandate_id,strategy,initial_amount,recovered_amount,recovered_boolean,attempt_count,retry_budget_exhausted,stop_reason,policy_violation_count,execution_error_count,amount_at_risk
d6cd3155-08a8-ac7f-8621-38ad0f09105c,P_Prioritization,110.25,110.25,True,1,False,Recovered,369,0,110.25
e9aa144b-9dd4-3675-ef14-5064aab07015,P_Prioritization,726.8,0.0,False,0,False,No Recovery Baseline,369,0,726.8
0406ff44-7ce4-0679-a8c6-dbc07bb3447b,P_Prioritization,369.72,0.0,False,0,False,No Recovery Baseline,369,0,369.72
cb80f288-446f-64dd-5abc-a6e5d0b1e3eb,P_Prioritization,44.15,44.15,True,1,False,Recovered,369,0,44.15
d867888b-7ff6-b824-152a-eaec2bdfcb41,P_Prioritization,418.93,418.93,True,1,False,Recovered,369,0,418.93
a879d8f8-9042-2eb7-8b04-0f53e63949d4,P_Prioritization,588.66,0.0,False,3,True,Budget Exhausted,1479,0,588.66
16591c89-21eb-faa9-1a2b-d69c450f69ee,P_Prioritization,174.81,174.81,True,2,False,Recovered,738,0,174.81
8e969227-72e7-6b51-6e54-ac6d2ff8e87e,P_Prioritization,130.89,0.0,False,3,True,Budget Exhausted,1479,0,130.89
c777a07f-6346-d4ef-69ef-74e34ab6821c,P_Prioritization,153.84,0.0,False,3,True,Budget Exhausted,1479,0,153.84
75366b9f-320f-72c0-9dde-01889803b22e,P_Prioritization,314.88,314.88,True,1,False,Recovered,369,0,314.88
d773f98d-550c-2fe9-654c-11d9f2e61828,P_Prioritization,569.69,569.69,True,1,False,Recovered,369,0,569.69
2d79a2d1-506e-50c7-7aa0-61e9336b00cb,P_Prioritization,70.12,0.0,False,0,False,No Recovery Baseline,369,0,70.12
33261887-9058-81df-ee9b-f3e11d27c09a,P_Prioritization,582.2,582.2,True,1,False,Recovered,369,0,582.2
768b4f7e-6421-5e66-5fc6-4cd0721e8b1f,P_Prioritization,431.98,431.98,True,1,False,Recovered,369,0,431.98
0840405a-ffd2-f491-dff3-89aa4c36a70c,P_Prioritization,252.9,252.9,True,2,False,Recovered,738,0,252.9
f3d04ffb-4470-9848-929e-cc924a11be44,P_Prioritization,359.15,0.0,False,0,False,No Recovery Baseline,369,0,359.15
7ea5a387-363b-e5cb-d329-37246dfd171a,P_Prioritization,31.22,0.0,False,0,False,No Recovery Baseline,369,0,31.22
216e9fe5-93f3-7596-8c1c-8b0556771f36,P_Prioritization,34.2,0.0,False,0,False,No Recovery Baseline,369,0,34.2
fee5ce69-33cb-202e-6d84-414df54191ea,P_Prioritization,885.04,885.04,True,1,False,Recovered,369,0,885.04
9c3de1b0-022b-6683-9033-da6587cf63fd,P_Prioritization,281.24,281.24,True,3,True,Recovered,1108,0,281.24
d8d994b8-d90f-74e9-06dd-f6cab0c30a59,P_Prioritization,689.82,0.0,False,0,False,No Recovery Baseline,369,0,689.82
27c6cbb1-cedd-069d-f96c-9a0a3404c02a,P_Prioritization,61.38,0.0,False,0,False,No Recovery Baseline,369,0,61.38
55c34853-0783-e43c-e65f-ad87c57c7498,P_Prioritization,405.74,405.74,True,1,False,Recovered,369,0,405.74
7f0386fa-13ba-dc91-a0a5-fde6939f71a2,P_Prioritization,483.36,0.0,False,0,False,No Recovery Baseline,369,0,483.36
061efb95-68f8-2063-eeb1-9ad201a1fb0f,P_Prioritization,420.15,0.0,False,0,False,No Recovery Baseline,369,0,420.15
69be173a-850e-f0ad-d872-f72ee5b4a1ae,P_Prioritization,141.36,0.0,False,0,False,No Recovery Baseline,369,0,141.36
b46788bd-d38e-13e4-4de1-087bafa14a55,P_Prioritization,187.19,0.0,False,3,True,Budget Exhausted,1479,0,187.19
1f5df912-54e0-7431-cf13-3b65d450afa2,P_Prioritization,403.74,403.74,True,1,False,Recovered,369,0,403.74
