mandate_id,initial_amount,recovered_boolean_smart,recovered_boolean_ml
d6cd3155-08a8-ac7f-8621-38ad0f09105c,110.25,True,True
e9aa144b-9dd4-3675-ef14-5064aab07015,726.8,False,False
0406ff44-7ce4-0679-a8c6-dbc07bb3447b,369.72,False,False
cb80f288-446f-64dd-5abc-a6e5d0b1e3eb,44.15,True,True
4ccb2355-39d1-c7ff-b27e-1442fd7fe973,130.03,True,True
d867888b-7ff6-b824-152a-eaec2bdfcb41,418.93,True,True
47c68688-ecf3-2053-af36-b8cc13087974,342.2,False,False
a879d8f8-9042-2eb7-8b04-0f53e63949d4,588.66,False,False
3508507a-f622-d842-0402-2b3c508211a5,778.73,True,True
9d264599-c4dd-8df5-9aec-56a857311609,143.11,False,False
16591c89-21eb-faa9-1a2b-d69c450f69ee,174.81,True,True
8e969227-72e7-6b51-6e54-ac6d2ff8e87e,130.89,False,False
c777a07f-6346-d4ef-69ef-74e34ab6821c,153.84,False,False
8f3dc97f-e6b0-da0a-b98f-5dbe15aede0f,563.96,False,False
46a56fe8-6f46-f1b1-2ace-1aa9103246b3,82.51,False,False
c85cd714-7bf6-9552-4cbc-90446bcd5ce7,552.31,False,False
75366b9f-320f-72c0-9dde-01889803b22e,314.88,True,True
d773f98d-550c-2fe9-654c-11d9f2e61828,569.69,True,True
6e3cdd4f-55b1-45e4-70b2-7304545cd88d,695.27,False,False
2d79a2d1-506e-50c7-7aa0-61e9336b00cb,70.12,True,True
51b30182-f7fe-604f-65f3-0779f6ee5cdb,110.3,False,False
33261887-9058-81df-ee9b-f3e11d27c09a,582.2,True,True
40afbf3f-3df5-1967-4d86-70bda2224f96,287.47,False,False
2a9528c3-5ae1-dbad-aa29-60fda85894df,394.34,False,False
1b1f2eb1-6e32-55a8-cbd5-cc86f73936e9,250.74,False,False
38d5101f-423c-ad9d-193e-478302b34254,838.28,False,False
768b4f7e-6421-5e66-5fc6-4cd0721e8b1f,431.98,True,True
4ba17233-1ac3-bf31-7b96-e2d10649bcf6,49.76,True,True
57d337d3-4fd8-0bbb-592c-11072444d301,234.43,False,False
0b705933-4cde-1b6b-1132-567c51a40d2a,715.1,False,False
05c8234b-1d76-3a66-b5f5-9cb0cf685878,163.91,False,False
a84554c3-a3f6-6c61-2fb7-0dab2f383b43,586.4,True,True
0123a348-638a-bdf6-6df7-2cd3979aa051,41.53,True,True
7d4ed26e-dcd5-bfae-abb3-16a743299780,380.63,False,False
503b4078-a39c-9ec6-f746-4c02871854c1,259.2,False,False
8991b01a-a2b0-3c4b-7c96-6b552f8d8ded,36.82,True,True
8fc3d7d3-f6bd-80c7-624a-2a50d0b1fde0,83.06,True,True
8b0901ab-c66d-ceb3-4494-5e091d3ca5a4,549.23,False,False
0840405a-ffd2-f491-dff3-89aa4c36a70c,252.9,True,True
f3d04ffb-4470-9848-929e-cc924a11be44,359.15,True,True
600b4b35-6a0a-a7d5-a0b8-575544caa5a2,751.14,False,False
cb6ad0c7-a235-6dd4-1355-08d073b5bad5,426.2,False,False
94fb09f0-53c9-3ae7-7cf0-7bb3f343d9eb,19.08,False,False
cbb18c79-1036-708d-d9a0-90075bb47c18,196.16,False,False
f7d7465d-37c3-b3c9-65d0-b51788d00abd,222.26,False,False
7ea5a387-363b-e5cb-d329-37246dfd171a,31.22,True,True
216e9fe5-93f3-7596-8c1c-8b0556771f36,34.2,True,True
c9ce44bd-7c3f-1add-da38-5db590eeb067,366.03,False,False
28719b9b-db8f-0e32-edef-50031fce01e3,491.8,True,True
fee5ce69-33cb-202e-6d84-414df54191ea,885.04,True,True
a0279a18-6576-a410-0d41-ee472a5fda18,73.71,False,False
c156e501-b30e-96e8-b9da-5f8c4e35da80,207.52,False,False
36a2c52b-0047-3139-185d-f528b4258e19,496.03,False,False
7a4a902f-21d6-3b0f-b1ac-040d6c1cc405,372.71,True,True
16de66c9-6210-def6-3a9c-43081221cddf,159.78,True,True
9c3de1b0-022b-6683-9033-da6587cf63fd,281.24,True,True
3f87dfc2-1591-52f2-a505-da9c46e75a2c,100.8,False,False
f0f7ad22-c76a-8e0f-48f0-91f09b8b38ae,310.25,False,False
d8d994b8-d90f-74e9-06dd-f6cab0c30a59,689.82,True,True
a56b61e0-4ba8-a4ca-6449-cb6fbf72ae52,632.21,True,True
a3595d1f-7fe4-a42e-3db7-88a61cdcc4c2,169.89,False,False
15669e36-4708-203b-2716-10c19db54283,392.2,True,True
ebc1bb52-82e4-dd4a-143a-c1c54f560ed5,902.62,False,False
27c6cbb1-cedd-069d-f96c-9a0a3404c02a,61.38,False,False
55c34853-0783-e43c-e65f-ad87c57c7498,405.74,True,True
7f0386fa-13ba-dc91-a0a5-fde6939f71a2,483.36,False,False
0e3141ec-5c31-1464-82c2-99f07487d772,193.78,False,False
ac5f12ef-8085-c147-1e91-0f365f705b25,429.25,False,False
f8cbab4c-9779-0e84-5e47-2e2276c3e642,77.16,False,False
c6a07656-c5c9-fb91-ff6e-f9ed7e4ce29f,386.98,False,False
061efb95-68f8-2063-eeb1-9ad201a1fb0f,420.15,True,True
bcf2fc3b-d958-74c2-6053-8c1ba84510a1,31.13,False,False
34879e41-1a9c-672a-4eb9-047dba2ac3d9,577.11,False,False
47a2a10b-b62e-db49-2472-96a4ff38b918,64.38,False,False
69be173a-850e-f0ad-d872-f72ee5b4a1ae,141.36,True,True
755d814b-5f5b-a255-e544-9887b36ab3ed,73.38,False,False
f18cccdc-131e-b723-3bcd-f203459ee674,78.2,False,False
c5285425-c7a9-f33c-22d8-39d333e4f986,256.0,False,False
b46788bd-d38e-13e4-4de1-087bafa14a55,187.19,False,False
38e7e019-fb89-86c8-c7ec-fe71d49347fc,47.75,True,True
329fc417-1081-3d45-ff45-f8a20594b24f,124.49,True,True
1f5df912-54e0-7431-cf13-3b65d450afa2,403.74,True,True
0cf697a5-7603-c36c-f139-4e3c0aee2557,295.54,True,True
9d3616a1-08de-c921-260c-b547e2280fe3,210.15,False,False
a5b40983-3eeb-c04a-9df2-372e9e825aae,254.82,False,False
1674eb65-0f9c-5300-7aa1-c5678cf9eea9,30.3,True,True
fe7c80e9-a179-1e93-3fc8-25ac869bc00f,580.69,True,True
04ffeab2-cb7b-0b3a-8b2d-158acd5ae324,229.51,True,True
b4157cea-0738-8ba4-9770-a3dbe9fa97e2,309.51,False,False
9a069295-3b8d-3447-0e61-065f171b1b80,46.04,True,True
9d37efb6-eafb-3e90-54ec-84ce002ccb25,475.17,True,True
cd6bb03b-eb35-37a0-2d6e-0291b7893986,128.63,False,False
96053035-6545-c030-a981-fa54f121e129,816.78,False,False
92a54d04-f2dd-e1f5-b3b6-d344f2e3c6f0,286.65,False,False
13eb22c9-bece-d21a-54c7-743b2401342a,749.36,True,True
b86d066b-1ba8-27c6-c97a-24ad41b455b8,29.5,True,True
702f31e5-62cc-c604-0c53-644b0053f649,505.83,False,False
2a9527f6-f817-0ebf-6b6e-64c5bb8aa843,378.11,False,False
8a45a905-badf-9397-ecf2-6429b8d77d2f,272.49,False,False
4c2272f3-4811-e562-a91c-f19243e8644b,90.04,False,False
7daec949-d700-b461-8cb6-b0ba925f8199,106.02,False,False
fa207403-4ab4-27e3-a360-76812bbba89d,584.95,True,True
1d91fe39-d801-4004-793b-ed1b14f9c394,141.76,True,True
6334fa2a-8b4b-d7e7-a451-5ae01754bf08,886.54,True,True
61a66444-e2af-a629-5efb-336e2f546033,68.17,False,False
907276ea-44c0-7a9a-d64a-cb1f39eb038a,475.23,True,True
ab0b4cc5-15f0-ea19-18c1-80d2aadf3692,141.16,True,True
3a3e46b0-96f8-4ff7-c1a7-2883f8802878,502.7,False,False
6319629b-d73e-7bb9-0f9c-a17b8db8dadf,355.71,True,True
efb56207-ddec-c40b-afe3-af13891778e8,31.81,True,True
6511e61a-1436-65f5-4c81-926079ec533c,247.39,True,True
08e3f771-b6dc-bd05-da9b-ccc1e71c681a,865.64,False,False
844e250b-e684-390c-923b-78208089b8c5,222.91,False,False
d2938e6e-ff4d-0930-33b0-fb536f75ee8a,409.21,False,False
98550b1e-d588-1c1c-25db-5946a091e5b4,398.4,False,False
8d536c75-65b9-0e94-8e6d-e263635a775d,410.03,False,False
1cce08e9-6b6a-8061-c81c-8d3185c69fbf,50.79,True,True
ec4e8cbb-a2aa-378c-659e-0258814ff657,193.36,False,False
3defa7ba-07d2-fd4d-ae61-716a1fb621ae,619.43,True,True
0cb5ee5c-62f5-f7c2-0706-fec248fa4e98,96.41,True,True
34ec5264-ad7d-6f81-39a0-f145a5bab050,24.7,True,True
8fbba749-5fcd-859e-d6e1-8109d7e174e6,849.55,True,True
7b53359e-1bac-bd0d-af35-b30b4c68eb17,686.23,True,True
30385dd7-4c7d-9313-a6c6-81b0e4729be5,6.11,False,False
3d846fc9-c3f6-2136-846d-5a3b2661c426,172.27,False,False
6772fe9f-999b-c859-cf5e-0f0bcd67b5df,459.91,True,True
afb28b3d-38ec-cb4d-b69f-5eabb9ff2c29,295.73,False,False
38e59b27-16dc-5a6e-a789-077055ec024a,837.15,True,True
1e26ed31-d9e9-2758-76b9-04364b46ef33,87.86,True,True
a267d32f-ddcb-f4bc-0dbd-c5da787515b9,37.61,False,False
69c165ae-4c61-0ae8-87a3-7f1061b512ed,110.24,True,True
503be788-2d44-5af8-fc94-76b1a18b5d15,960.91,False,False
3610901c-2196-b3b5-fc21-109bba27bc64,141.4,True,True
980b6853-0c70-31eb-9f85-c2dd88e44a48,741.33,False,False
349b5089-2733-5670-b3ad-a2ba797209c0,368.73,True,True
19d9d0b5-a962-d996-6bbe-3b5a4d15f7d8,282.96,False,False
16c8e3d7-abf0-263e-0343-8b6400b3700f,60.4,False,False
13365c0c-82ff-1f2e-c78f-07cf170fa87b,20.96,True,True
ad409244-cd35-66ef-5c37-07394a629c5e,773.18,False,False
1dabb10a-bd10-f87c-6d0e-0597500d92a7,128.08,False,False
bbaa574f-e0e3-c5ce-44af-ecb79f2ebefc,623.96,False,False
57bcad3a-d0a1-7fe8-5f64-2a5317cba85d,183.64,False,False
c7774fae-6137-58c3-9c7f-aca62e671784,194.99,False,False
1036ca81-0bc4-d7ba-70d0-ebcb6949ece5,287.9,True,True
032a09e0-5071-e5f0-a7ac-590c42f90f92,87.32,True,True
f4acc7e2-fa57-5cea-3957-134490a4a421,414.08,False,False
84e3b774-569a-def0-df86-5633ab7aeb66,461.21,True,True
a9e8f0d8-5883-09de-7b5f-be413fa2bde0,322.3,True,True
816ce054-282c-6470-ef32-f72aa4b5c723,89.88,False,False
7eef09ab-da14-3a47-7823-51d9d94df188,530.44,False,False
c05db774-132a-5e58-2a57-e880de9205ea,197.64,False,False
142e3df0-3c28-f5dc-d12d-aea8673d2920,476.47,False,False
92b26acd-cd1f-75a3-71b6-5ca175873920,26.48,False,False
a7939a2e-34f4-3404-8ff5-070182226c16,589.0,True,True
54fc286f-7457-7d47-d825-301039112943,213.95,False,False
