strategy,prob,outcome,amount
SmartHeuristic,0.37993774403467745,1,110.25
MLProbability,0.408131436101631,1,110.25
MLExpectedValue,0.408131436101631,1,110.25
SmartHeuristic,0.3038308710148124,0,726.8
MLProbability,0.3297120638981956,0,726.8
MLExpectedValue,0.3297120638981956,0,726.8
SmartHeuristic,0.29964139654645155,0,369.72
MLProbability,0.29964139654645155,0,369.72
MLExpectedValue,0.29964139654645155,0,369.72
SmartHeuristic,0.28774972612359273,1,44.15
MLProbability,0.31272628974637934,1,44.15
MLExpectedValue,0.31272628974637934,1,44.15
SmartHeuristic,0.1794069093851463,1,130.03
MLProbability,0.19446324861542102,1,130.03
MLExpectedValue,0.19446324861542102,1,130.03
SmartHeuristic,0.358724321162252,0,418.93
MLProbability,0.38659351511142276,0,418.93
MLExpectedValue,0.38659351511142276,0,418.93
SmartHeuristic,0.16383224352182685,0,342.2
MLProbability,0.1769488312897981,0,342.2
MLExpectedValue,0.1769488312897981,0,342.2
SmartHeuristic,0.3968894619165747,0,588.66
MLProbability,0.4251708222305652,0,588.66
MLExpectedValue,0.4251708222305652,0,588.66
SmartHeuristic,0.15300545602202,1,778.73
MLProbability,0.1647099217585396,1,778.73
MLExpectedValue,0.1647099217585396,1,778.73
SmartHeuristic,0.32308311559069286,0,174.81
MLProbability,0.34985362737722414,0,174.81
MLExpectedValue,0.34985362737722414,0,174.81
SmartHeuristic,0.28727549030688176,0,130.89
MLProbability,0.31222312751090386,0,130.89
MLExpectedValue,0.31222312751090386,0,130.89
SmartHeuristic,0.37966182868607645,0,153.84
MLProbability,0.40785284419101236,1,153.84
MLExpectedValue,0.40785284419101236,1,153.84
SmartHeuristic,0.25321549559169576,1,82.51
MLProbability,0.27574753315133094,0,82.51
MLExpectedValue,0.27574753315133094,0,82.51
SmartHeuristic,0.16570796155260886,0,552.31
MLProbability,0.1790640730368991,0,552.31
MLExpectedValue,0.1790640730368991,0,552.31
SmartHeuristic,0.3786428854871635,1,314.88
MLProbability,0.4068236668767491,1,314.88
MLExpectedValue,0.4068236668767491,1,314.88
SmartHeuristic,0.3770319758521295,0,569.69
MLProbability,0.4051954532576972,1,569.69
MLExpectedValue,0.4051954532576972,1,569.69
SmartHeuristic,0.28444878776483157,0,70.12
MLProbability,0.3092213292960244,0,70.12
MLExpectedValue,0.3092213292960244,0,70.12
SmartHeuristic,0.18682354926569186,0,110.3
MLProbability,0.2027626555627715,0,110.3
MLExpectedValue,0.2027626555627715,0,110.3
SmartHeuristic,0.4126927701971563,0,582.2
MLProbability,0.4126927701971563,0,582.2
MLExpectedValue,0.4126927701971563,0,582.2
SmartHeuristic,0.1824153535062078,0,250.74
MLProbability,0.1978330641957557,0,250.74
MLExpectedValue,0.1978330641957557,0,250.74
SmartHeuristic,0.16316796745539378,0,838.28
MLProbability,0.17619935566256648,0,838.28
MLExpectedValue,0.17619935566256648,0,838.28
SmartHeuristic,0.41760638479546475,1,431.98
MLProbability,0.4457933557139899,1,431.98
