bin,count,mean_predicted_prob,observed_success_rate,absolute_gap
0.0-0.1,116,0.08555336745780343,0.09482758620689655,0.009274218749093122
0.1-0.2,268,0.13791054291125915,0.10820895522388059,0.02970158768737856
0.2-0.3,100,0.24907791399288165,0.19,0.05907791399288165
0.3-0.4,103,0.3485177713033125,0.32038834951456313,0.028129421788749387
0.4-0.5,183,0.448859533176562,0.48633879781420764,0.037479264637645615
0.5-0.6,168,0.5539956782705426,0.5773809523809523,0.023385274110409693
0.6-0.7,217,0.6466780431507838,0.6129032258064516,0.033774817344332186
0.7-0.8,20,0.7131884145516295,0.85,0.13681158544837047
0.8-0.9,0,0.0,0.0,0.0
0.9-1.0,0,0.0,0.0,0.0
