bin,count,mean_predicted_prob,observed_success_rate,absolute_gap
0.0-0.1,115,0.05681771068844777,0.09565217391304348,0.03883446322459571
0.1-0.2,157,0.15446032075435034,0.07643312101910828,0.07802719973524207
0.2-0.3,104,0.24249470528604106,0.15384615384615385,0.0886485514398872
0.3-0.4,71,0.35355010603296066,0.14084507042253522,0.21270503561042545
0.4-0.5,79,0.4548295875252538,0.34177215189873417,0.11305743562651965
0.5-0.6,107,0.5560683735409911,0.35514018691588783,0.2009281866251033
0.6-0.7,167,0.6421540887443189,0.5029940119760479,0.13916007676827102
0.7-0.8,176,0.7506476249317735,0.5795454545454546,0.17110217038631892
0.8-0.9,182,0.8410791791014788,0.6208791208791209,0.2202000582223579
0.9-1.0,17,0.9130077128437483,0.8823529411764706,0.030654771667277703
